schoolnummer,intern_vplnummer,net,naam,hoofdzetel,adres,straat,huisnummer,busnummer,postcode,gemeente,niscode,provinciecode,provincie,VWO-vestigingsplaatscode,crab-code,crab-huisnr,lx,ly,kbo-nummer,telefoon,fax,e-mail,website,beheerder(s),soort instelling,onderwijsniveau,instellingstype,begindatum,einddatum,status erkenning,clb,bestuur,scholengemeenschap,taalstelsel,ingerichte hoofdstructuren
10108,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool Heilig Hart,True,"Albertstraat 38, 2860 Sint-Katelijne-Waver",Albertstraat,38,,2860,Sint-Katelijne-Waver,12035,1,Antwerpen,,11900,50746,157921,194495,"""KBO  0443.385.416""",015 20 96 14,,directie@hh-skw.be,www.hhartschool-skw.be,Van Beersel Mathias,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,973719,121954,Nederlandstalig,211-111
10116,1,Officieel gesubsidieerd onderwijs,Gemeentelijke Basisschool - G. L.O.C.,True,"Daliastraat 35, 2860 Sint-Katelijne-Waver",Daliastraat,35,,2860,Sint-Katelijne-Waver,12035,1,Antwerpen,,11928,235308,161131,195088,"""KBO  0207.509.724""",015 31 28 22,,directie@gloc.be,www.gloc.be,De Clippeleer Alexandra,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,961011,122077,Nederlandstalig,211-111
10124,1,Officieel gesubsidieerd onderwijs,Gemeentelijke Basisschool - Octopus,True,"Clemenceaustraat 115, 2860 Sint-Katelijne-Waver",Clemenceaustraat,115,,2860,Sint-Katelijne-Waver,12035,1,Antwerpen,,11927,1475511,158111,194492,"""KBO  0207.509.724""",015 21 01 79,,directie@octopusschool.be,www.octopusschool.be,OP DE BEECK Frans,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,961011,122077,Nederlandstalig,211-111
10132,1,Officieel gesubsidieerd onderwijs,Gemeentelijke Basisschool - Dijkstein,True,"Maanhoeveweg 33, 2860 Sint-Katelijne-Waver",Maanhoeveweg,33,,2860,Sint-Katelijne-Waver,12035,1,Antwerpen,,12039,2474156,159743,192648,"""KBO  0207.509.724""",015 55 36 90,,directie@dijkstein.be,www.dijkstein.be,LE PAGE Daniël,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,961011,122077,Nederlandstalig,211-111
10141,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Sint-Katarina,True,"Generaal Deschachtstraat 18, 2860 Sint-Katelijne-Waver",Generaal Deschachtstraat,18,,2860,Sint-Katelijne-Waver,12035,1,Antwerpen,,11961,1280760,161372,195451,"""KBO  0870.585.094""",015 33 96 69,,directie@sint-katarinaschool.be,www.sint-katarinaschool.be,VERSCHUEREN Chris,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,123539,119933,Nederlandstalig,211-111
10165,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool,True,"Pastorijstraat 3, 2590 Berlaar",Pastorijstraat,3,,2590,Berlaar,12002,1,Antwerpen,,8937,1540739,170526,201072,"""KBO  0461.202.831""",03 482 41 93,,secretariaat@vbsberlaar.be,www.vbsberlaar.be,Schoovaerts Anne-Marie - Van Hoof Veerle,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,108621,121483,Nederlandstalig,111-211
10173,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool Berlaar (Centrum voor Kinderzorg en Gezinsondersteuning),True,"Ballaarweg 1, 2590 Berlaar",Ballaarweg,1,,2590,Berlaar,12002,1,Antwerpen,,8857,791779,170373,201088,"""KBO  0461.202.831""",03 422 52 49,,directie@vrijebasisschoolberlaar.be,www.vrijebasisschoolberlaar.be,VAN KERCKHOVEN Elly,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,108621,121483,Nederlandstalig,111-211-111-211
10181,1,Officieel gesubsidieerd onderwijs,Gemeentelijke Basisschool - De Stap,True,"Pastorijstraat 60, 2590 Berlaar",Pastorijstraat,60,,2590,Berlaar,12002,1,Antwerpen,,8937,3970039,170865,201042,"""KBO  0207.537.339""",03 482 17 11,,tom.geens@gemeenteschoolberlaar.be,www.gemeenteschoolberlaar.be,Geens Tom,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,961029,121863,Nederlandstalig,111-211
10223,3,Officieel gesubsidieerd onderwijs,Stedelijke Basisschool - De Kolibrie,True,"Markgravelei 149, 2018 Antwerpen",Markgravelei,149,,2018,Antwerpen,11002,1,Antwerpen,,1951,1778064,152660,209635,"""KBO  0824.037.071""",03 432 02 60,,dekolibrie@so.antwerpen.be,www.stedelijkonderwijs.be/dekolibrie,BLOMMAERTS Tom,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114215,128728,119768,Nederlandstalig,111-211
10231,1,Officieel gesubsidieerd onderwijs,Stedelijke Basisschool - De Boomhut,True,"Ramskapellestraat 43, 2600 Antwerpen",Ramskapellestraat,43,,2600,Antwerpen,11002,1,Antwerpen,,2394,2972633,155451,209373,"""KBO  0824.037.071""",03 334 43 70,,deboomhut@so.antwerpen.be,www.stedelijkonderwijs.be/deboomhut,TROUSSE Stefanie,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114215,128728,119701,Nederlandstalig,111-211
10249,1,Officieel gesubsidieerd onderwijs,Stedelijke Basisschool - Leopold III,True,"Mellinetplein 13, 2600 Antwerpen",Mellinetplein,13,,2600,Antwerpen,11002,1,Antwerpen,,2000,2408472,154248,207860,"""KBO  0824.037.071""",03 502 08 40,,leopold3@so.antwerpen.be,www.stedelijkonderwijs.be/leopold3,BICKER Dirk,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114215,128728,119701,Nederlandstalig,111-211
10256,1,Officieel gesubsidieerd onderwijs,Stedelijke Basisschool - Fruithof,True,"Flor Alpaertsstraat 45, 2600 Antwerpen",Flor Alpaertsstraat,45,,2600,Antwerpen,11002,1,Antwerpen,,850,965189,155063,207965,"""KBO  0824.037.071""",03 432 41 30,,fruithof@so.antwerpen.be,www.stedelijkonderwijs.be/fruithof,AVERMAETE Petra,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114215,128728,119701,Nederlandstalig,111-211
10264,1,Officieel gesubsidieerd onderwijs,Stedelijke Basisschool - Klavertjevier,True,"Jozef Balstraat 6, 2600 Antwerpen",Jozef Balstraat,6,,2600,Antwerpen,11002,1,Antwerpen,,1363,1156394,154091,209941,"""KBO  0824.037.071""",03 502 10 80,,klavertjevier@so.antwerpen.be,www.stedelijkonderwijs.be/klavertjevier,MERTENS Inge,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114215,128728,119701,Nederlandstalig,211-111
10306,1,Vrij gesubsidieerd onderwijs,Vrije Lagere School - O.-L.-Vrouw Pulhof,True,"Grotesteenweg 489, 2600 Antwerpen",Grotesteenweg,489,,2600,Antwerpen,11002,1,Antwerpen,,1071,1699355,154349,208014,"""KBO  0413.776.660""",03 230 12 78,,info@pulhof-ls.be,www.pulhof-ls.be,Vanhulle Machteld,Onderwijsinstelling,BaO,Autonome lagere school,01/01/0001,31/12/4444,S,114942,963645,119784,Nederlandstalig,211
10314,2,Vrij gesubsidieerd onderwijs,Vrije Basisschool - De Schatkist,True,"Ferdinand Coosemansstraat 15, 2600 Antwerpen",Ferdinand Coosemansstraat,15,,2600,Antwerpen,11002,1,Antwerpen,,841,1171709,153489,209726,"""KBO  0447.911.059""",03 239 27 87,,schatkist@dsbvb.be,www.deschatkistberchem.be,Smans Ann,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114942,56143,121848,Nederlandstalig,111-211-211
10322,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool Kleine Stan,True,"Gustaaf Garittestraat 1, 2600 Antwerpen",Gustaaf Garittestraat,1,,2600,Antwerpen,11002,1,Antwerpen,,1079,1432538,153976,207766,"""KBO  0447.911.059""",03 230 46 92,,sint.stanislas@skynet.be,www.kleinestan.be,PAUWELS Mark,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114942,56143,121848,Nederlandstalig,211-111
10331,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Heilige Familie,True,"Jan Moorkensstraat 95, 2600 Antwerpen",Jan Moorkensstraat,95,,2600,Antwerpen,11002,1,Antwerpen,,1307,1515757,154479,208641,"""KBO  0447.911.059""",03 239 17 88,,directeur@heilige-familie.be,www.heilige-familie.be,Billion Dirk,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114942,56143,121848,Nederlandstalig,211-111
10348,1,Vrij gesubsidieerd onderwijs,Vrije Kleuterschool,True,"Floraliënlaan 370_2, 2600 Antwerpen",Floraliënlaan,370_2,,2600,Antwerpen,11002,1,Antwerpen,,853,1833083,154058,207954,"""KBO  0413.776.660""",03 230 12 78,,info@pulhof-ks.be,www.PULHOF-KS.BE,VAN BERCKELAER Katrien - WAUTERS Ilse,Onderwijsinstelling,BaO,Autonome kleuterschool,01/01/0001,31/12/4444,S,114942,963645,119784,Nederlandstalig,111
10363,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Neerland,True,"Mogendhedenlaan 1, 2610 Antwerpen",Mogendhedenlaan,1,,2610,Antwerpen,11002,1,Antwerpen,,2045,1215298,151554,204699,"""KBO  0416.317.664""",03 825 84 30,,lievem@neerlandschool.be,www.neerlandschool.be,MICHIELS Godelieve,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114942,963686,122994,Nederlandstalig,111-111-211
10371,1,Officieel gesubsidieerd onderwijs,Stedelijke Basisschool - De Letter,True,"Letterkundestraat 39, 2610 Antwerpen",Letterkundestraat,39,,2610,Antwerpen,11002,1,Antwerpen,,1822,305747,150900,207808,"""KBO  0824.037.071""",03 292 22 10,,deletter@so.antwerpen.be,www.stedelijkonderwijs.be/deletter,VAN CAMPENHOUT Cindy,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114215,128728,119768,Nederlandstalig,211-111
10397,1,Officieel gesubsidieerd onderwijs,Stedelijke Basisschool - Prins Boudewijn,True,"Spoorweglaan 145, 2610 Antwerpen",Spoorweglaan,145,,2610,Antwerpen,11002,1,Antwerpen,,2705,2177940,153828,207108,"""KBO  0824.037.071""",03 432 30 10,,prinsboudewijn@so.antwerpen.be,www.stedelijkonderwijs.be/prinsboudewijn,VAN ELVEN Ann,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114215,128728,119768,Nederlandstalig,211-111
10405,3,Vrij gesubsidieerd onderwijs,Vrije Kleuterschool,True,"Kerkhofstraat 1a, 2610 Antwerpen",Kerkhofstraat,1a,,2610,Antwerpen,11002,1,Antwerpen,,1512,2447837,152214,206761,"""KBO  0410.847.161""",03 827 92 93,,kristine.verelst@suwvb.be,www.sint-ursula-wilrijk.be,VERELST Kristine,Onderwijsinstelling,BaO,Autonome kleuterschool,01/01/0001,31/12/4444,S,114942,970723,139063,Nederlandstalig,111
10413,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool,True,"Valkenveld 73, 2610 Antwerpen",Valkenveld,73,,2610,Antwerpen,11002,1,Antwerpen,,2901,0,0,0,"""KBO  0410.847.161""",03 827 93 21,,school@arknet.be,www.arknet.be,Vloeberghs Chris,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114942,970723,139063,Nederlandstalig,211-111
10421,1,Vrij gesubsidieerd onderwijs,Vrije Lagere School Sint-Ursula Instituut,True,"Kerkhofstraat 1, 2610 Antwerpen",Kerkhofstraat,1,,2610,Antwerpen,11002,1,Antwerpen,,1512,2605089,152214,206761,"""KBO  0410.847.161""",03 827 92 93,,lager@suwvb.be,www.sintursulawilrijk.be,VERLINDE Ria,Onderwijsinstelling,BaO,Autonome lagere school,01/01/0001,31/12/4444,S,114942,970723,139063,Nederlandstalig,211
10439,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Rozenkransschool,True,"Heistraat 255, 2610 Antwerpen",Heistraat,255,,2610,Antwerpen,11002,1,Antwerpen,,1143,2162049,151633,207540,"""KBO  0443.297.126""",03 828 25 87,,directie@rozenkransschool.be,www.rozenkransschool.be,Verstappen Guy,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114942,974981,122994,Nederlandstalig,111-211
10447,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Johannesschool,True,"Frans Stienletlaan 39, 2610 Antwerpen",Frans Stienletlaan,39,,2610,Antwerpen,11002,1,Antwerpen,,901,595388,150511,207505,"""KBO  0443.296.730""",03 827 64 95,,sonja.heughebaert@johannes-valaar.be,www.johannes-valaar.be,Heughebaert Sonja,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114942,974998,122994,Nederlandstalig,211-111-211
10454,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Zonnekesschool,True,"Heiligstraat 6, 2620 Hemiksem",Heiligstraat,6,,2620,Hemiksem,11018,1,Antwerpen,,4900,58152,148553,203907,"""KBO  0452.716.717""",03 887 69 78,,secretariaat@zonnekesschool.be,www.zonnekesschool.be,Rypens Bart,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114942,103192,138826,Nederlandstalig,111-211-211
10462,1,Officieel gesubsidieerd onderwijs,Gemeentelijke Basisschool - De Regenboog,True,"Provinciale steenweg 11, 2620 Hemiksem",Provinciale steenweg,11,,2620,Hemiksem,11018,1,Antwerpen,,4934,2051628,147940,203832,"""KBO  0207.506.160""",03 887 43 83,,directie@deregenbooghemiksem.be,www.deregenbooghemiksem.be,Hoolants Sonja,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114314,961037,123001,Nederlandstalig,211-111
10471,1,Officieel gesubsidieerd onderwijs,Gemeentelijke Basisschool - Het Klaverbos,True,"Jan Sanderslaan 154, 2620 Hemiksem",Jan Sanderslaan,154,,2620,Hemiksem,11018,1,Antwerpen,,4907,2323674,148803,203049,"""KBO  0207.506.160""",03 887 43 71,,directie@hetklaverbos.be,www.hetklaverbos.be,Cordon Sarah,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114314,961037,123001,Nederlandstalig,111-111-211
10488,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Sint-Lutgardis,True,"Peperstraat 17, 2627 Schelle",Peperstraat,17,,2627,Schelle,11038,1,Antwerpen,,6614,1001861,147794,201787,"""KBO  0452.716.717""",03 887 42 06,,directeur@sint-lutgardis.be,www.sint-lutgardis.be,Meskens Saskia,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114942,103192,138826,Nederlandstalig,111-211-211-111
10496,1,Officieel gesubsidieerd onderwijs,Gemeentelijke Basisschool - De Klim,True,"Provinciale Steenweg 100, 2627 Schelle",Provinciale Steenweg,100,,2627,Schelle,11038,1,Antwerpen,,6618,1842294,147853,201823,"""KBO  0207.536.547""",03 887 61 26,,gbs.deklim@schelle.be,www.deklim.be,Pintens Sigi,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114314,961045,123001,Nederlandstalig,111-211
10504,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool Sint-Jan Berchmans,True,"Zoete Moederstraat 30, 9150 Kruibeke",Zoete Moederstraat,30,,9150,Kruibeke,46013,4,Oost-Vlaanderen,,76922,2504827,144759,202153,"""KBO  0415.898.485""",03 774 43 88,,sjb@ksas.be,www.sjb-rupelmonde.be,Arnauts Pieterjan,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,115022,963991,121665,Nederlandstalig,211-111
10538,1,Vrij gesubsidieerd onderwijs,Vrije Kleuterschool,True,"Carillolei 16, 2630 Aartselaar",Carillolei,16,,2630,Aartselaar,11001,1,Antwerpen,,18,4122901,151142,202541,"""KBO  0410.847.161""",03 887 58 04,,kleuterschoolaartselaar@telenet.be,www.kleuterschoolaartselaar.be,Clonen Martine,Onderwijsinstelling,BaO,Autonome kleuterschool,01/01/0001,31/12/4444,S,114777,970723,139063,Nederlandstalig,111
10546,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Sint-Jozefschool,True,"Rozenlaan 44, 2840 Rumst",Rozenlaan,44,,2840,Rumst,11037,1,Antwerpen,,6518,2689738,151608,199815,"""KBO  0452.716.717""",03 888 35 56,,info@sjr.be,www.sjr.be,Misselyn Evelyne,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,103192,138826,Nederlandstalig,111-211-111
10553,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - De Wingerd,True,"Molenstraat 6, 2840 Rumst",Molenstraat,6,,2840,Rumst,11037,1,Antwerpen,,6485,2749207,152977,199027,"""KBO  0453.485.589""",03 888 43 02,,reet@wingerd.be,www.wingerd.be,De Boeck Veronik,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,104661,119255,Nederlandstalig,211-111
10561,1,Officieel gesubsidieerd onderwijs,Gemeentelijke Basisschool - Eikenlaar,True,"Processieweg 2, 2840 Rumst",Processieweg,2,,2840,Rumst,11037,1,Antwerpen,,6514,3552805,152941,199318,"""KBO  0207.510.021""",03 888 57 23,,directie@eikenlaar.be,www.eikenlaar.be,HERREMANS Nathalie,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,960997,123001,Nederlandstalig,111-111-211
10579,2,Gemeenschapsonderwijs,GO! basisschool De Parel,True,"Schuttershofstraat 50, 2845 Niel",Schuttershofstraat,50,,2845,Niel,11030,1,Antwerpen,,6131,13793,146883,199889,"""KBO  0850.037.427""",03 888 25 22,,info@bsdeparel.be,www.bsdeparel.be,Mertens Ushi,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114314,113852,120485,Nederlandstalig,111-211-211
10587,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool,True,"Kerkstraat 5, 2845 Niel",Kerkstraat,5,,2845,Niel,11030,1,Antwerpen,,6106,3572131,147236,199965,"""KBO  0452.716.717""",03 888 37 62,,sinthubertusschool@telenet.be,www.sint-hubertusschool.be,VAN HOOFSTAT Jan,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,103192,138826,Nederlandstalig,111-211
10595,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool Sint-Henricus,True,"Gelaagstraat 161, 9140 Temse",Gelaagstraat,161,,9140,Temse,46025,4,Oost-Vlaanderen,,78267,332572,143037,202074,"""KBO  0420.851.920""",03 774 23 10,,directie.steendorp@ksts.be,www.basisschool-steendorp.be,VAN LEUGENHAEGE Annemie,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,115022,963918,121228,Nederlandstalig,111-211
10603,2,Vrij gesubsidieerd onderwijs,Vrije Basisschool - De Reuzenboom,True,"Spoorweglaan 25, 2850 Boom",Spoorweglaan,25,,2850,Boom,11005,1,Antwerpen,,3652,3604408,149981,198777,"""KBO  0463.735.323""",03 888 92 92,,secretariaat@dereuzenboom.be,www.dereuzenboom.be,Gielis Katleen,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,111096,122994,Nederlandstalig,111-211
10611,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - De Kade,True,"Bassinstraat 15A, 2850 Boom",Bassinstraat,15A,,2850,Boom,11005,1,Antwerpen,,3540,3214908,149923,197174,"""KBO  0463.735.323""",03 880 27 40,,anne-mie.coopman@dekade.be,www.dekade.be,COOPMAN Anne-Mieke,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,111096,122994,Nederlandstalig,211-111
10629,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - De Krinkel,True,"Ruisbroek-Dorp 38, 2870 Puurs-Sint-Amands",Ruisbroek-Dorp,38,,2870,Puurs-Sint-Amands,12041,1,Antwerpen,,204774,4359415,147345,197592,"""KBO  0413.775.274""",03 886 89 70,,directie@dekrinkelschool.be,www.dekrinkelschool.be,SEGERS Hans,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,963835,119545,Nederlandstalig,211-111
10637,2,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Sint-Carolus,True,"Kloosterstraat 1, 2870 Puurs-Sint-Amands",Kloosterstraat,1,,2870,Puurs-Sint-Amands,12041,1,Antwerpen,,204681,4350808,147718,196402,"""KBO  0413.775.274""",03 886 64 76,,info@carolusschool.be,www.carolusschool.be,VAN DER DONCK Wim,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,963835,119545,Nederlandstalig,211-111-111
10645,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Klavertjevier,True,"Breendonk-Dorp 94, 2870 Puurs-Sint-Amands",Breendonk-Dorp,94,,2870,Puurs-Sint-Amands,12041,1,Antwerpen,,204572,4359908,146990,192741,"""KBO  0413.775.274""",03 886 50 30,,directie@klavertjevier.be,www.klavertjevier.be,Van Lombergen Jan,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,963835,119545,Nederlandstalig,211-111
10661,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Sancta Maria,True,"August Van Landeghemstraat 117, 2830 Willebroek",August Van Landeghemstraat,117,,2830,Willebroek,12040,1,Antwerpen,,12136,0,0,0,"""KBO  0870.585.094""",03 886 93 68,,directie@sanctamariawillebroek.be,www.sanctamariawillebroek.be,Meel Kristoff,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,123539,119933,Nederlandstalig,111-211
10686,1,Gemeenschapsonderwijs,GO! basisschool 't Venneke,True,"Kerkstraat 4, 2830 Willebroek",Kerkstraat,4,,2830,Willebroek,12040,1,Antwerpen,,12257,134705,149402,195022,"""KBO  0850.037.427""",03 886 69 09,,directeur@tvenneke.be,www.tvenneke.be,SAS Anne,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114314,113852,120485,Nederlandstalig,111-111-211
10702,1,Gemeenschapsonderwijs,GO! basisschool De Tovertuin,True,"Adrien Dezaegerplein 12A, 2830 Willebroek",Adrien Dezaegerplein,12A,,2830,Willebroek,12040,1,Antwerpen,,12129,2025865,148695,193381,"""KBO  0850.037.427""",03 886 66 39,,directeur@bstovertuin.be,www.bstovertuin.be,Adriany Vanessa,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114314,113852,120485,Nederlandstalig,211-111
10711,1,Gemeenschapsonderwijs,GO! basisschool 't Pleintje,True,"August Van Landeghemplein 4, 2830 Willebroek",August Van Landeghemplein,4,,2830,Willebroek,12040,1,Antwerpen,,12135,942233,149338,194549,"""KBO  0850.037.427""",03 886 66 66,,directeur@pleintje.be,www.pleintje.be,Borghys Sara,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114314,113852,120485,Nederlandstalig,111-211
10736,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Sint-Joris,True,"Mechelsesteenweg 226, 2830 Willebroek",Mechelsesteenweg,226,,2830,Willebroek,12040,1,Antwerpen,,12291,573412,150213,193607,"""KBO  0478.043.516""",03 886 57 09,,info@sintjorisblaasveld.be,www.sintjorisblaasveld.be,Maes Sandra,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,117945,119248,Nederlandstalig,111-211-111-211-111
10744,2,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Sint-Jan,True,"Kardinaal Cardijnlaan 1A, 2830 Willebroek",Kardinaal Cardijnlaan,1A,,2830,Willebroek,12040,1,Antwerpen,,12247,1169479,149015,191365,"""KBO  0478.043.516""",03 886 42 58,,directie@sintjantisselt.be,www.sintjantisselt.be,De Wachter Tom,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,117945,119248,Nederlandstalig,111-211
10751,2,Gemeenschapsonderwijs,GO! basisschool Himo,True,"Louis Mommaertsstraat 10, 2830 Willebroek",Louis Mommaertsstraat,10,,2830,Willebroek,12040,1,Antwerpen,,12286,863491,149675,194169,"""KBO  0850.037.427""",03 886 68 95,,directeur@himo.be,www.himo.be,Huysmans Sabrina,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114314,113852,120485,Nederlandstalig,211-111
10769,1,Vrij gesubsidieerd onderwijs,Vrije Lagere School - Twinkelveld,True,"Winkelveld 1, 2870 Puurs-Sint-Amands",Winkelveld,1,,2870,Puurs-Sint-Amands,12041,1,Antwerpen,,204827,4350880,145041,195526,"""KBO  0413.775.274""",03 889 14 23,,directie@twinkelveld.be,https://twinkelveld.sjabi.be,AERTS Gunter,Onderwijsinstelling,BaO,Autonome lagere school,01/01/0001,31/12/4444,S,114777,963835,119545,Nederlandstalig,211
10793,1,Vrij gesubsidieerd onderwijs,Vrije Kleuterschool - De Regenboog,True,"Coolhemveldstraat 3, 2870 Puurs-Sint-Amands",Coolhemveldstraat,3,,2870,Puurs-Sint-Amands,12041,1,Antwerpen,,204581,4354336,145127,195625,"""KBO  0413.775.274""",03 889 82 88,,directie@deregenboogkalfort.be,www.deregenboog.sjabi.be,MEERSMANS Carina,Onderwijsinstelling,BaO,Autonome kleuterschool,01/01/0001,31/12/4444,S,114777,963835,119545,Nederlandstalig,111
10801,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Huveneersschool,True,"Victor Kegelsstraat 1, 2880 Bornem",Victor Kegelsstraat,1,,2880,Bornem,12007,1,Antwerpen,,9378,2805665,145248,199604,"""KBO  0414.114.180""",03 889 08 62,,directie.hingene@huveneersschool.be,www.huveneersschool.be,Van den Bossche_Maurits - De Ost Dirk,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,963876,120113,Nederlandstalig,111-211-211-111
10819,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - Liezele,True,"Turkenhofdreef 2, 2870 Puurs-Sint-Amands",Turkenhofdreef,2,,2870,Puurs-Sint-Amands,12041,1,Antwerpen,,204807,4352291,143744,194469,"""KBO  0413.775.274""",03 899 17 30,,directie@vbs-liezele.be,www.vbs-liezele.be,PEETERS Karel,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,963835,119545,Nederlandstalig,211-111
10827,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool Libos,True,"Lippelodorp 48, 2890 Puurs-Sint-Amands",Lippelodorp,48,,2890,Puurs-Sint-Amands,12041,1,Antwerpen,,204711,4351569,142486,192567,"""KBO  0413.775.274""",052 34 24 40,,directie@libos.be,www.libos.be,VANDEWIELE Dominique,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,963835,119545,Nederlandstalig,111-211
10835,1,Vrij gesubsidieerd onderwijs,Vrije Basisschool - De Kameleon,True,"Oppuursdorp 41, 2890 Puurs-Sint-Amands",Oppuursdorp,41,,2890,Puurs-Sint-Amands,12041,1,Antwerpen,,204742,4361446,141135,195100,"""KBO  0413.775.274""",03 889 56 00,,directie@dekameleonoppuurs.be,www.dekameleonoppuurs.be,SMETS Hilde,Onderwijsinstelling,BaO,Basisschool,01/01/0001,31/12/4444,S,114777,963835,119545,Nederlandstalig,111-211
10851,1,Vrij gesubsidieerd onderwijs,Vrije Kleuterschool - Onze-Lieve-Vrouw-Presentatie,True,"Driesstraat 12, 2880 Bornem",Driesstraat,12,,2880,Bornem,12007,1,Antwerpen,,9228,1511788,140762,198895,"""KBO  0414.114.180""",03 889 44 26,,nathalie.smet@olvpks.be,www.olvpks.be,Smet Nathalie,Onderwijsinstelling,BaO,Autonome kleuterschool,01/01/0001,31/12/4444,S,114777,963876,120113,Nederlandstalig,111-111
